L|fu|15|14|15|D|1000|0.50||||||||||
M|fu|15|14||D|1000|0.50|0|0|0|1||||||
P|fu|15|14||D|1000|0.50|0|0|0|1||||||
F|fu|15|14||D|1000|0.50|0|0|0|1||||||
MP|fu|15|14||D|1000|0.50|0|0|0|1||||||
OH|fu|0|0||D|1000||0|0|0|1||||||
R|fu|3|1|0|D|1000|0.50|0|0|0|1||||||
AI|fu|15|14||D|1000|0.50|0|0|0|1||||||
AC|fu|0|0||D|1000|0.50|0|0|0|1||||||

L|ib|5|14||D|1|0.50|0|0|0|1||||||
M|ib|0|0||D|1000|0.50|0|0|0|1||||||
P|ib|5|7||D|1|0.50|0|0|0|1||||||
F|ib|5|14||D|1|0.50|0|0|0|1||||||
MP|ib|0|0||D|1000|0.50|0|0|0|1||||||
OH|ib|0|0||D|1000||0|0|0|1||||||
R|fu|0|0|0|D|1000|0.50|0|0|0|1||||||
AI|ib|0|14||D|1|0.50|0|0|0|1||||||
AC|ib|0|0||D|1000|0.50|0|0|0|1||||||

L|fp|15|365||D|1000|0.50|0|0|0|1||||||
M|fp|15|365||D|1000|0.50|0|0|0|1||||||
P|fp|15|365||D|1000|0.50|0|0|0|1||||||
F|fp|15|365||D|1000|0.50|0|0|0|1||||||
MP|fp|15|365||D|1000|0.50|0|0|0|1||||||
OH|fp|0|0||D|1000||0|0|0|1||||||
R|fp|3|365|0|D|1000|0.50|0|0|0|1||||||
AI|fp|15|365||D|1000|0.50|0|0|0|1||||||
AC|fp|0|0||D|1000|0.50|0|0|0|1||||||
