1|Editor
2|Compilador
3|Coordenador
4|Organizador
5|Adaptador
6|Animador
7|Anotador
8|Artista
9|Autor
10|Autor da Introdução
11|Autos das Citações
12|Autor do Posfácio
13|Autos Duvidoso
14|Autor Intelectual
15|Colaborador
16|Comentarista
17|Consultor
18|Desenhista
19|Entrevistador
20|Ilustrador
21|Orientador
22|Patrocinador
23|Produtor
24|Programador
25|Redator
26|Repórter
27|Revisor
28|Tradutor
